seed,train_author,epochs_completed,loss_dataset,loss_value
7,dickens,0,baum,10.844294036702909
7,dickens,0,thompson,10.844664074125744
7,dickens,0,dickens,10.842758109315328
7,dickens,0,melville,10.839525382139042
7,dickens,0,wells,10.841245214144388
7,dickens,0,austen,10.850635747053303
7,dickens,0,fitzgerald,10.84104126263288
7,dickens,0,twain,10.839827968609224
7,dickens,1,train,
7,dickens,1,baum,
7,dickens,1,thompson,
7,dickens,1,dickens,
7,dickens,1,melville,
7,dickens,1,wells,
7,dickens,1,austen,
7,dickens,1,fitzgerald,
7,dickens,1,twain,
7,dickens,2,train,
7,dickens,2,baum,
7,dickens,2,thompson,
7,dickens,2,dickens,
7,dickens,2,melville,
7,dickens,2,wells,
7,dickens,2,austen,
7,dickens,2,fitzgerald,
7,dickens,2,twain,
7,dickens,3,train,
7,dickens,3,baum,
7,dickens,3,thompson,
7,dickens,3,dickens,
7,dickens,3,melville,
7,dickens,3,wells,
7,dickens,3,austen,
7,dickens,3,fitzgerald,
7,dickens,3,twain,
