seed,train_author,epochs_completed,loss_dataset,loss_value
7,thompson,0,baum,10.88464516471414
7,thompson,0,thompson,10.883867103062318
7,thompson,0,dickens,10.885533906349917
7,thompson,0,melville,10.880879364694868
7,thompson,0,wells,10.883474467489958
7,thompson,0,austen,10.885982770861292
7,thompson,0,fitzgerald,10.884314091117291
7,thompson,0,twain,10.8855525324742
7,thompson,1,train,
7,thompson,1,baum,
7,thompson,1,thompson,
7,thompson,1,dickens,
7,thompson,1,melville,
7,thompson,1,wells,
7,thompson,1,austen,
7,thompson,1,fitzgerald,
7,thompson,1,twain,
7,thompson,2,train,
7,thompson,2,baum,
7,thompson,2,thompson,
7,thompson,2,dickens,
7,thompson,2,melville,
7,thompson,2,wells,
7,thompson,2,austen,
7,thompson,2,fitzgerald,
7,thompson,2,twain,
7,thompson,3,train,
7,thompson,3,baum,
7,thompson,3,thompson,
7,thompson,3,dickens,
7,thompson,3,melville,
7,thompson,3,wells,
7,thompson,3,austen,
7,thompson,3,fitzgerald,
7,thompson,3,twain,
