seed,train_author,epochs_completed,loss_dataset,loss_value
6,thompson,0,baum,10.8153225098741
6,thompson,0,thompson,10.814549008081126
6,thompson,0,dickens,10.819425645461218
6,thompson,0,melville,10.818149178849216
6,thompson,0,wells,10.78454906062076
6,thompson,0,austen,10.817207025863253
6,thompson,0,fitzgerald,10.81803055229427
6,thompson,0,twain,10.81689235217431
6,thompson,1,train,
6,thompson,1,baum,
6,thompson,1,thompson,
6,thompson,1,dickens,
6,thompson,1,melville,
6,thompson,1,wells,
6,thompson,1,austen,
6,thompson,1,fitzgerald,
6,thompson,1,twain,
6,thompson,2,train,
6,thompson,2,baum,
6,thompson,2,thompson,
6,thompson,2,dickens,
6,thompson,2,melville,
6,thompson,2,wells,
6,thompson,2,austen,
6,thompson,2,fitzgerald,
6,thompson,2,twain,
6,thompson,3,train,
6,thompson,3,baum,
6,thompson,3,thompson,
6,thompson,3,dickens,
6,thompson,3,melville,
6,thompson,3,wells,
6,thompson,3,austen,
6,thompson,3,fitzgerald,
6,thompson,3,twain,
